City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
531,Pell City,US,33.5862,-86.2861,67.68,97,100,10.36,mist
532,Khandyga,RU,62.6667,135.6,-35.21,100,96,1.9,overcast clouds
533,Hammerfest,NO,70.6634,23.6821,18.05,73,0,11.5,clear sky
534,Shelopugino,RU,51.6514,117.5599,-27.04,100,40,2.44,scattered clouds
535,Ures,MX,29.4333,-110.4,65.12,10,0,5.44,clear sky
536,Alice Springs,AU,-23.7,133.8833,62.15,72,82,4.61,broken clouds
537,Whitehorse,CA,60.7161,-135.0538,-8.63,77,100,2.3,light snow
538,Haines Junction,CA,60.7522,-137.5108,-2.25,71,100,1.14,overcast clouds
539,Fier,AL,40.7239,19.5561,39.79,62,2,5.12,clear sky
540,Svetlyy,RU,54.675,20.1347,33.85,98,100,10.25,overcast clouds
541,Chernyshevskiy,RU,63.0128,112.4714,-15.23,100,94,0.74,overcast clouds
542,Samarai,PG,-10.6167,150.6667,81.34,77,92,8.01,overcast clouds
543,Sumbe,AO,-11.2061,13.8437,75.36,77,98,5.35,overcast clouds
544,Nkoteng,CM,4.5167,12.0333,74.98,68,91,5.12,overcast clouds
545,Shimoda,JP,34.6667,138.95,43.59,62,99,6.96,overcast clouds
546,Dubna,RU,56.7333,37.1667,21.92,97,100,2.84,light snow
547,Ust-Koksa,RU,50.2696,85.6108,-7.19,90,59,0.98,broken clouds
548,Road Town,VG,18.4167,-64.6167,78.89,83,40,5.75,scattered clouds
549,Gurupi,BR,-11.7292,-49.0686,77.77,84,54,4.76,broken clouds
550,Hagi,JP,34.4,131.4167,35.2,61,93,13.02,overcast clouds
551,Gamba,GA,-2.65,10.0,74.88,88,100,1.61,overcast clouds
552,Durban,ZA,-29.8579,31.0292,76.93,92,100,8.01,overcast clouds
553,Yumen,CN,40.2833,97.2,14.4,38,39,7.83,scattered clouds
554,Marsa Matruh,EG,31.3525,27.2453,55.17,74,46,29.37,scattered clouds
555,Mackay,AU,-21.15,149.2,76.68,81,100,8.39,moderate rain
556,Karasjok,NO,69.4719,25.5112,-2.09,98,100,2.1,overcast clouds
557,Ikirun,NG,7.9167,4.6667,76.23,22,57,2.21,broken clouds
558,Xacmaz,AZ,41.4635,48.806,41.88,75,69,2.82,broken clouds
559,Chiredzi,ZW,-21.05,31.6667,76.1,69,0,5.17,clear sky
560,Keti Bandar,PK,24.1447,67.4497,68.27,55,0,10.07,clear sky
561,Kuala Terengganu,MY,5.3302,103.1408,80.55,83,40,5.75,scattered clouds
562,Longview,US,32.5007,-94.7405,33.08,93,100,1.01,overcast clouds
563,Belyy Yar,RU,53.6039,91.3903,-18.51,91,20,0.0,mist
564,Walvis Bay,NA,-22.9575,14.5053,69.1,75,0,11.23,clear sky
565,Zacualpan,MX,21.25,-105.1667,85.62,51,85,8.25,overcast clouds
566,Moussoro,TD,13.6408,16.4901,64.6,13,5,11.05,clear sky
567,Anloga,GH,5.7947,0.8973,82.62,81,2,9.6,clear sky
568,Padang,ID,-0.9492,100.3543,73.45,89,86,4.29,overcast clouds
569,Uhlove,UA,44.8215,33.6045,36.57,80,100,13.82,overcast clouds
570,Mayumba,GA,-3.432,10.6554,76.39,85,100,1.14,overcast clouds
571,Olaine,LV,56.7853,23.9381,26.56,86,100,5.75,overcast clouds
572,Aiquile,BO,-18.2041,-65.1807,67.87,66,86,7.72,light rain
573,Wanning,CN,18.8003,110.3967,62.94,89,100,9.19,overcast clouds
574,Jonesboro,US,35.8423,-90.7043,26.42,79,100,13.0,snow
575,Codrington,AU,-38.2667,141.9667,61.66,69,100,13.35,overcast clouds
576,Sumenep,ID,-7.0167,113.8667,77.23,86,91,6.26,overcast clouds
577,General Pico,AR,-35.6566,-63.7568,88.39,39,0,7.87,clear sky
578,Ketchikan,US,55.3422,-131.6461,44.58,93,100,9.22,moderate rain
579,Bantogon,PH,6.5333,124.0333,76.71,73,99,3.47,overcast clouds
580,Nangong,CN,37.3581,115.3744,26.13,44,55,7.36,broken clouds
581,Yarim,YE,14.298,44.3779,51.08,33,0,3.65,clear sky
582,Maniitsoq,GL,65.4167,-52.9,15.19,87,100,25.55,light snow
583,Muswellbrook,AU,-32.2667,150.9,64.24,71,85,10.0,overcast clouds
584,Iberia,US,29.9502,-91.7507,46.47,81,100,18.41,light rain
585,Hualmay,PE,-11.0964,-77.6139,74.68,72,23,11.88,few clouds
586,Oriximina,BR,-1.7656,-55.8661,79.48,78,91,1.63,overcast clouds
587,Fianarantsoa,MG,-21.4333,47.0833,64.09,92,89,2.42,overcast clouds
588,Saint-Joseph,RE,-21.3667,55.6167,77.36,95,100,31.61,very heavy rain
589,Martinsburg,US,39.4562,-77.9639,49.46,93,100,0.0,mist
590,Khadyzhensk,RU,44.4256,39.5319,38.61,91,100,2.06,light rain
591,Urucara,BR,-2.5364,-57.76,77.02,93,98,1.77,moderate rain
592,Nelson Bay,AU,-32.7167,152.15,64.29,92,53,1.99,broken clouds
593,Lillooet,CA,50.6856,-121.942,34.52,85,94,4.47,overcast clouds
594,Alta Floresta,BR,-9.8756,-56.0861,75.63,90,68,2.53,broken clouds
595,Durg,IN,21.1833,81.2833,65.53,72,11,8.25,few clouds
596,Quatre Cocos,MU,-20.2078,57.7625,80.71,91,100,24.07,moderate rain
597,Ranong,TH,9.9658,98.6348,77.43,86,43,5.08,scattered clouds
598,Manali,IN,13.1667,80.2667,78.08,79,5,7.07,clear sky
599,Florianopolis,BR,-27.6146,-48.5012,78.26,78,40,4.0,scattered clouds
600,Shelburne,CA,44.0787,-80.2041,12.65,81,100,13.94,overcast clouds
601,Valley City,US,46.9233,-98.0032,2.39,65,0,17.27,clear sky
602,Faya,SA,18.3851,42.4509,57.31,72,55,3.85,broken clouds
603,Gander,CA,48.9682,-54.5906,33.93,86,100,17.0,mist
604,Batticaloa,LK,7.7102,81.6924,74.75,79,10,3.18,clear sky
605,Uthal,PK,25.8072,66.6219,64.24,18,0,8.66,clear sky
606,Ginda,IN,30.6945,78.4932,35.73,99,100,1.66,overcast clouds
607,Leshukonskoye,RU,64.8989,45.7622,-4.5,100,95,2.57,overcast clouds
608,Celestun,MX,20.8667,-90.4,84.97,59,0,5.53,clear sky
609,Kimbe,PG,-5.5502,150.1429,76.28,91,100,3.62,overcast clouds
