City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
280,Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
281,Saldanha,ZA,63.12,clear sky,-33.0117,17.9442,Blue Bay Lodge
283,Guerrero Negro,MX,64.06,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
286,Corrente,BR,78.24,overcast clouds,-3.7367,-43.3394,Chapadinhense Hotel
287,Tambun,ID,75.09,overcast clouds,-6.2641,107.0712,Metland Hotel Bekasi
288,Birin,NP,45.63,light rain,26.8865,88.0718,Sangam hotel and lodge
289,Gazanjyk,TM,48.99,overcast clouds,39.2446,55.5154,Railway motel
292,Mon,IN,48.76,scattered clouds,26.75,95.1,NCK Cottage
293,Vung Tau,VN,76.42,few clouds,10.346,107.0843,Green hotel
294,Awbari,LY,49.46,clear sky,26.5921,12.7805,فندق أوباري
296,Mabaruma,GY,74.44,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
298,Miramar,US,78.03,scattered clouds,25.9873,-80.2323,Casa Miramar
299,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
300,Kiunga,PG,75.6,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
302,Tacoronte,ES,67.14,clear sky,28.4769,-16.4102,Casa Laurel
303,Gualeguaychu,AR,74.86,light rain,-33.0094,-58.5172,Hotel Los Angeles
305,Kimberley,ZA,68.54,broken clouds,-28.7323,24.7623,Welgewandel Guesthouse
306,Mecca,SA,72.77,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
310,Marsh Harbour,BS,73.56,broken clouds,26.5412,-77.0636,Abaco Beach Resort
312,Lompoc,US,70.11,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
313,Camopi,GF,72.81,overcast clouds,3.1655,-52.3158,La pousada
314,Lagoa,PT,57.58,overcast clouds,39.05,-27.9833,Casa Das Faias
315,Sorong,ID,79.74,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
317,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
318,Dicabisagan,PH,71.91,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
321,Shingu,JP,40.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
323,Richards Bay,ZA,78.76,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
325,Dunedin,NZ,50.23,moderate rain,-45.8742,170.5036,Scenic Hotel Southern Cross
326,Oistins,BB,78.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
327,Iquique,CL,69.84,few clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
328,Palmer,US,44.26,moderate rain,42.1584,-72.3287,Wedgewood Motel
329,Soyo,AO,78.04,overcast clouds,-6.1349,12.3689,Hotel Mpampa
332,Miri,MY,75.94,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
334,Chabahar,IR,69.08,clear sky,25.2919,60.643,هتل گدروشیا
335,Daru,PG,77.67,overcast clouds,-9.0763,143.2092,Daru Lodge
336,Rio Gallegos,AR,53.65,scattered clouds,-51.6226,-69.2181,Hotel Santa Cruz
337,Altamira,BR,75.2,overcast clouds,-3.2033,-52.2064,Requinte Hotel
338,Comodoro Rivadavia,AR,64.26,scattered clouds,-45.8667,-67.5,Austral Hotel
340,Flinders,AU,65.8,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
341,Babati,TZ,62.11,light rain,-4.2167,35.75,White Rose Lodge
343,Willowmore,ZA,62.22,scattered clouds,-33.2926,23.4895,Jumper's Place
344,Jibuti,DJ,69.22,clear sky,11.5,42.5,Orchid Main Camp Goubet
345,Sembe,CG,75.43,broken clouds,1.6481,14.5806,
347,Karratha,AU,81.7,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
349,Namatanai,PG,80.92,light rain,-3.6667,152.4333,Seagulls Inn Namatani
350,Mitu,CO,75.09,overcast clouds,1.1983,-70.1733,
352,The Valley,AI,78.94,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
353,Constantine,DZ,40.41,clear sky,36.365,6.6147,Grand Hotel Cirta
355,Waipawa,NZ,70.43,broken clouds,-41.4122,175.5153,Tora Coastal Walk
356,Cuamba,MZ,70.68,few clouds,-14.8031,36.5372,Hotel Vision
360,Byron Bay,AU,76.05,light rain,-28.65,153.6167,Backpackers Inn
361,Moerai,PF,78.96,scattered clouds,-22.4333,-151.3333,Le Manotel
362,Santa Rosa,PH,75.11,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
363,Middle Island,US,46.51,mist,40.8843,-72.9373,
366,Mareeba,AU,74.12,light rain,-17.0,145.4333,Trinity Plains Tourist Park
367,Uarini,BR,75.15,heavy intensity rain,-2.99,-65.1083,
369,Margate,GB,48.96,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
371,Khonsa,IN,46.58,broken clouds,27.0167,95.5667,
374,Mayo,US,55.51,mist,38.8876,-76.5119,Resorts Resource Group International
375,Constitucion,CL,63.66,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
377,Dieppe,FR,46.18,overcast clouds,49.75,1.1667,LA LONGERE DES NUITS DE VARENNE
378,Langenau,DE,44.91,overcast clouds,48.4962,10.1185,Gasthof Zum Bad
379,Imbituba,BR,80.49,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
380,Quelimane,MZ,74.59,few clouds,-17.8786,36.8883,Hotel Flamingo
383,Buala,SB,79.93,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
384,Rocha,UY,73.18,light rain,-34.4833,-54.3333,Hotel Arrarte
385,Huarmey,PE,75.54,scattered clouds,-10.0681,-78.1522,Hotel Miramar
387,Fortuna,US,58.19,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
390,Kaeo,NZ,75.33,broken clouds,-35.1,173.7833,Bushido Lodge
391,Teahupoo,PF,82.36,few clouds,-17.8333,-149.2667,Vanira Lodge
392,Lima,PE,75.38,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
394,Souillac,MU,80.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
395,Baculin,PH,74.52,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
398,Santa Maria,BR,83.8,overcast clouds,-29.6842,-53.8069,Hotel Morotin
400,Luwingu,ZM,63.54,light rain,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
401,Orange Cove,US,64.29,scattered clouds,36.6244,-119.3137,
